Sector,Symbol,Market_Cap,Total_Asset,Cash_Flow,Net_Profit
Aluminium,NATIONALUM,14690.26,12907.68,4933.53,143.92
Auto - 2 & 3 Wheelers,HEROMOTOCO,64402.23,7944.75,56.47,772.05
Auto - 2 & 3 Wheelers,ATULAUTO,1053.9,154.59,12.82,12.29
Auto - 2 & 3 Wheelers,MAHSCOOTER,2160.0,312.0,6.17,1.03
Auto - Tractors,VSTTILLERS,1555.12,420.12,26.61,13.42
Auto Ancillaries,WABCOINDIA,11067.59,1053.97,213.04,42.79
Auto Ancillaries,MUNJALSHOW,862.49,452.93,2.43,14.33
Auto Ancillaries,INDNIPPON,625.14,238.8,3.99,9.47
Bearings,SKFINDIA,8335.17,1569.39,94.58,65.34
Bearings,FAGBEARING,7502.7,1289.24,65.41,56.38
Breweries & Distilleries,GMBREW,688.77,180.98,34.05,9.9
Cigarettes,VSTIND,4447.27,370.44,14.1,45.2
Compressors,INGERRAND,2439.89,996.66,383.36,21.2
Computers - Hardware,SMARTLINK,220.43,416.41,1.09,1.41
Computers - Software,INFY,234472.11,57157.0,29176.0,3599.0
Computers - Software,OFSS,32438.52,2989.33,135.82,235.53
Computers - Software,HEXAWARE,6483.99,1109.95,110.56,105.67
Computers - Software,CYIENT,5277.11,1683.15,491.63,72.15
Computers - Software,TATAELXSI,4555.99,385.68,179.34,43.79
Computers - Software,POLARIS,1839.82,653.94,36.16,30.28
Computers - Software,RAMCOSYS,1163.48,618.42,1.77,12.51
Computers - Software,SASKEN,673.97,498.76,9.44,8.26
Computers - Software,SQSBFSI,586.86,87.3,54.25,3.0
Computers - Software,QUICKHEAL,1658.27,617.58,110.72,2.62
Computers - Software,MINDTECK,198.38,172.77,30.41,0.66
Computers - Software - Training,APTECHT,917.75,215.96,6.49,3.07
Construction & Contracting - Civil,MANINFRA,1158.3,623.03,35.86,8.34
Construction & Contracting - Housing,BSELINFRA,43.54,513.96,21.55,1.78
Construction & Contracting - Real Estate,MARATHON,745.2,613.32,3.22,25.16
Construction & Contracting - Real Estate,LPDC,46.28,59.68,0.82,0.16
Consumer Goods - White Goods,SYMPHONY,10662.85,307.96,8.36,56.06
Consumer Goods - White Goods,WHIRLPOOL,15527.84,1163.16,850.13,55.44
Diversified,NESCO,3314.15,658.17,6.64,56.19
Domestic Appliances,TTKPRESTIG,6841.28,722.95,26.87,29.72
Edible Oils & Solvent Extraction,AVTNPL,599.24,209.64,4.2,8.16
Electric Equipment,HAVELLS,29055.71,2644.18,76.77,152.97
Electric Equipment,HONDAPOWER,1355.11,366.58,22.76,11.53
Electric Equipment,DENORA,121.04,48.66,1.25,0.37
Engineering,SHANTIGEAR,913.17,284.06,1.2,4.73
Engineering,MANUGRAPH,168.35,216.2,11.81,0.23
Engineering - Heavy,EIMCOELECO,279.19,218.05,1.38,4.71
Engines,CUMMINSIND,26195.4,3171.29,85.15,198.09
Engines,GREAVESCOT,4265.07,855.28,7.27,44.1
Engines,KIRLOSENG,5661.63,1439.75,34.37,28.07
Engines,SWARAJENG,1838.13,214.05,0.72,15.3
Engines,KIRLOSIND,1048.77,730.99,1.68,5.67
Fertilisers,ZUARIGLOB,372.57,663.65,1.2,0.69
Finance - General,GEOJITFSL,1398.01,355.37,50.51,12.37
Finance - General,NSIL,458.27,363.23,2.16,5.81
Finance - General,PILANIINVS,1692.47,878.03,0.71,3.95
Finance - General,ALANKIT,335.95,33.43,5.96,3.61
Finance - General,INDBANK,57.47,49.04,0.44,0.58
Finance - Investments,BAJAJHLDNG,24428.93,6798.05,1406.91,123.97
Finance - Investments,TATAINVEST,3487.81,2235.96,23.32,22.38
Finance - Investments,JSWHL,1693.69,797.51,11.36,18.57
Finance - Investments,BAJAJFINSV,65049.89,2695.98,224.29,6.32
Finance - Investments,STEL,125.13,117.0,9.23,1.86
Finance - Investments,IVC,433.99,123.9,15.05,1.27
Finance - Leasing & Hire Purchase,HBSTOCK,39.67,136.05,0.93,2.69
Food Processing,GSKCONS,21699.82,2445.65,1061.67,136.41
Food Processing,MANPASAND,4045.19,601.57,4.35,7.24
Hospitals & Medical Services,THYROCARE,3844.99,375.39,7.6,16.9
Hotels,MHRIL,3867.74,691.86,83.47,35.72
Infrastructure - General,SIEMENS,44792.81,6581.9,1227.8,160.01
Infrastructure - General,ENGINERSIN,9727.36,2665.02,8.72,84.99
Infrastructure - General,NBCC,15489.0,1488.51,720.19,63.71
Infrastructure - General,RIIL,689.69,273.33,2.39,2.71
Leather Products,BATAINDIA,7293.3,1183.04,90.05,37.71
Lubricants,CASTROLIND,21419.45,575.61,696.5,155.8
Lubricants,TIDEWATER,2094.71,543.89,242.59,22.8
Media & Entertainment,SUNTV,31507.07,3511.77,145.56,240.09
Media & Entertainment,DISHTV,11501.8,109.78,19.74,47.86
Media & Entertainment,TVTODAY,1547.41,531.75,87.78,26.32
Media & Entertainment,BALAJITELE,721.72,612.78,3.85,8.05
Media & Entertainment,PRESSMN,147.82,23.89,0.36,3.53
Media & Entertainment,SAREGAMA,403.49,190.82,6.77,1.1
Metals - Non Ferrous,HINDZINC,122048.34,37385.19,51.04,2319.9
Metals - Non Ferrous,TINPLATE,813.27,597.13,3.97,4.47
Miscellaneous,CRISIL,13589.39,714.92,20.79,77.8
Miscellaneous,JUSTDIAL,3725.91,671.48,33.56,27.44
Miscellaneous,ICRA,4062.0,408.37,0.96,21.18
Miscellaneous,JUBLFOOD,7255.39,768.09,31.38,19.97
Miscellaneous,INFIBEAM,5077.21,706.95,458.47,10.62
Miscellaneous,DLINKINDIA,496.71,152.97,6.73,9.1
Miscellaneous,PNEUMATIC,684.36,137.06,12.56,0.03
Oil Drilling And Exploration,ONGC,237479.02,151852.7,3017.17,4352.33
Oil Drilling And Exploration,CAIRN,57280.35,37258.84,1238.0,384.42
Oil Drilling And Exploration,IGL,14204.42,2413.23,453.27,144.81
Oil Drilling And Exploration,HINDOILEXP,1023.07,278.49,116.64,4.18
Oil Drilling And Exploration,SELAN,285.52,283.39,104.14,2.43
Packaging,MFSL,15410.79,1669.92,0.68,80.49
Personal Care,HINDUNILVR,196894.89,3687.29,634.55,1037.93
Personal Care,PGHH,24378.66,1511.21,1071.13,150.62
Personal Care,COLPAL,26980.97,1019.46,192.9,127.82
Personal Care,GILLETTE,13887.49,857.79,536.46,54.75
Personal Care,JYOTHYLAB,6358.93,1032.57,80.82,29.29
Petrochemicals,SUPPETRO,2933.66,414.98,70.93,35.42
Pharmaceuticals,APLLTD,11799.21,1530.28,284.81,137.83
Pharmaceuticals,ABBOTINDIA,9857.23,1107.62,140.19,85.56
Pharmaceuticals,SANOFI,10870.45,1627.16,567.74,50.5
Pharmaceuticals,LALPATHLAB,7982.66,479.24,18.06,29.02
Pharmaceuticals,MERCK,1726.34,591.55,9.18,18.2
Pharmaceuticals,ASTRAZEN,2351.75,156.01,76.2,15.96
Pharmaceuticals,AMRUTANJAN,865.23,120.48,42.27,9.65
Pharmaceuticals,ALEMBICLTD,978.67,289.34,2.34,0.69
Pharmaceuticals,PIRPHYTO,214.3,5.0,1.19,0.53
Plastics,ARROWGREEN,492.02,27.48,5.52,1.76
Printing & Stationery,MPSLTD,1284.38,274.88,4.23,15.39
Printing & Stationery,DICIND,427.28,302.13,21.57,5.12
Shipping,GPPL,7967.09,1916.35,119.13,64.54
Steel - Sponge Iron,TATASPONGE,1076.77,807.46,250.06,10.96
Telecommunications - Equipment,INFRATEL,60195.5,18573.2,2009.1,367.9
Telecommunications - Equipment,HONAUT,9162.87,1009.74,371.28,64.02
Textiles - Machinery,LAXMIMACH,4622.35,1426.13,18.32,51.26
Textiles - Spinning - Synthetic Blended,VHL,900.01,278.3,0.62,1.45
Trading,PTC,2749.92,2789.88,160.43,42.57
Transport & Logistics,CONCOR,24782.19,8105.83,2387.07,185.99
Tyres,PTL,323.33,680.98,0.76,6.47
Vanaspati/Oils,ZYDUSWELL,3399.27,477.16,326.38,25.14
Vanaspati/Oils,ZYDUSWELL,3399.27,477.16,326.38,25.14
Vanaspati/Oils,IVP,182.77,62.81,11.15,2.84
Vanaspati/Oils,IVP,182.77,62.81,11.15,2.84
